,_healpix_29,amplitude_g,amplitude_r,amplitude_i,amplitude_z,inter_percentile_range_25_g,inter_percentile_range_25_r,inter_percentile_range_25_i,inter_percentile_range_25_z,anderson_darling_normal_g,anderson_darling_normal_r,anderson_darling_normal_i,anderson_darling_normal_z,beyond_1_std_g,beyond_1_std_r,beyond_1_std_i,beyond_1_std_z,chi2_pvar_g,chi2_pvar_r,chi2_pvar_i,chi2_pvar_z,cusum_g,cusum_r,cusum_i,cusum_z,eta_g,eta_r,eta_i,eta_z,eta_e_g,eta_e_r,eta_e_i,eta_e_z,excess_variance_g,excess_variance_r,excess_variance_i,excess_variance_z,kurtosis_g,kurtosis_r,kurtosis_i,kurtosis_z,lafler_kinman_string_length_g,lafler_kinman_string_length_r,lafler_kinman_string_length_i,lafler_kinman_string_length_z,maximum_slope_g,maximum_slope_r,maximum_slope_i,maximum_slope_z,mean_g,mean_r,mean_i,mean_z,mean_variance_g,mean_variance_r,mean_variance_i,mean_variance_z,median_g,median_r,median_i,median_z,median_absolute_deviation_g,median_absolute_deviation_r,median_absolute_deviation_i,median_absolute_deviation_z,median_buffer_range_percentage_10_g,median_buffer_range_percentage_10_r,median_buffer_range_percentage_10_i,median_buffer_range_percentage_10_z,otsu_mean_diff_g,otsu_std_lower_g,otsu_std_upper_g,otsu_lower_to_all_ratio_g,otsu_mean_diff_r,otsu_std_lower_r,otsu_std_upper_r,otsu_lower_to_all_ratio_r,otsu_mean_diff_i,otsu_std_lower_i,otsu_std_upper_i,otsu_lower_to_all_ratio_i,otsu_mean_diff_z,otsu_std_lower_z,otsu_std_upper_z,otsu_lower_to_all_ratio_z,percent_amplitude_g,percent_amplitude_r,percent_amplitude_i,percent_amplitude_z,percent_difference_magnitude_percentile_5_g,percent_difference_magnitude_percentile_5_r,percent_difference_magnitude_percentile_5_i,percent_difference_magnitude_percentile_5_z,chi2_g,chi2_r,chi2_i,chi2_z,roms_g,roms_r,roms_i,roms_z,skew_g,skew_r,skew_i,skew_z,standard_deviation_g,standard_deviation_r,standard_deviation_i,standard_deviation_z,stetson_K_g,stetson_K_r,stetson_K_i,stetson_K_z,weighted_mean_g,weighted_mean_r,weighted_mean_i,weighted_mean_z
110,2528736942810859009,0.6757765,0.7689867,0.696743,0.9007139,0.45200348,0.9825878,0.37760925,0.7179966,1.6786212,1.9307333,1.0796539,1.1414987,0.2826087,0.42857143,0.26086956,0.3392857,0.0,0.0,0.0,0.0,0.307001,0.19494411,0.37471056,0.295061,0.5701866,0.5269263,0.31910852,0.55263406,4.9601545e+06,4.5598285e+06,3.6376015e+06,5.652845e+06,0.00029900108,0.00063568976,0.00022832667,0.0006357241,0.38008285,-1.3472567,-0.0010743141,-0.73604155,0.37334368,0.32549345,0.17343871,0.3135917,583.84375,1331.0156,1457.2227,1536.4922,20.37601,20.008823,19.85759,19.575583,0.017303906,0.025223091,0.015117926,0.025225943,20.23483,19.93717,19.914585,19.491844,0.19984627,0.41745567,0.1768713,0.35994434,0.23913044,0.14285715,0.25,0.125,0.63497734,0.13828672,0.25977302,0.67391306,0.9701252,0.24016163,0.12622006,0.67346936,0.5189495,0.19210422,0.16626118,0.32608697,0.85334015,0.21625225,0.3049367,0.58928573,1.043314,0.89102364,0.7721596,1.1265392,0.059762392,0.07188903,0.05197473,0.07814565,1152.5223,1704.215,1169.4376,1107.5037,24.491648,34.57742,26.599756,28.451086,1.0375297,0.35836136,-0.4504973,0.51979417,0.3525846,0.5046844,0.30020556,0.49381253,0.75524414,0.8475103,0.8045828,0.8510779,20.301867,20.043396,19.83195,19.508034
111,2528736942890860070,1.1416826,1.3005104,1.1477585,1.5006666,0.99863815,1.7033749,0.5817375,1.2315197,2.3839912,2.0675473,1.4038692,0.69039047,0.39130434,0.46938777,0.26086956,0.35714287,0.0,0.0,0.0,0.0,0.305984,0.20302227,0.39015588,0.31613278,0.52266634,0.52913284,0.30333775,0.5467262,4.5817005e+06,4.2537135e+06,3.958503e+06,5.7009515e+06,0.0008718535,0.0016026713,0.00049816887,0.001479163,-0.4372723,-1.3535688,0.25785875,-0.85115933,0.32447174,0.33543894,0.17116071,0.2951341,1068.2188,1814.6953,2390.2383,2452.414,21.472149,21.227459,21.287111,20.775164,0.029593412,0.040083434,0.022374097,0.03853551,21.237747,21.009659,21.418571,20.737686,0.29886913,0.63142776,0.24830055,0.6163645,0.23913044,0.12244898,0.18478261,0.10714286,1.2439537,0.22739817,0.33927876,0.6956522,1.6433067,0.39413258,0.21310857,0.67346936,0.83316994,0.32606524,0.25017628,0.3152174,1.3562393,0.36319923,0.48189658,0.53571427,1.7086678,1.638937,1.4849682,1.674797,0.096401915,0.114761524,0.075586446,0.12238138,445.7564,555.8909,349.00787,316.70282,16.220104,19.333559,14.2806635,17.294514,0.86578447,0.38975996,-0.67107975,0.3350177,0.63543415,0.8508695,0.4762799,0.8005815,0.741752,0.8188429,0.7972842,0.8631789,21.158724,20.968851,21.109764,20.35951
112,2528736942904447370,0.35273075,0.41757488,0.3675909,0.44790077,0.27633858,0.5271282,0.18160248,0.38966942,1.896911,1.7566433,1.5506057,1.018885,0.2826087,0.46938777,0.26086956,0.35714287,0.0,0.0,0.0,0.0,0.2890633,0.19486122,0.37616453,0.300625,0.6212357,0.5143965,0.3208578,0.53902906,6.17585e+06,5.9021365e+06,3.8230022e+06,9.805403e+06,9.498186e-05,0.00018200929,6.2614505e-05,0.000169528,-0.17569494,-1.3491163,0.16305089,-0.9665191,0.38859615,0.31845754,0.17058893,0.2971509,344.66406,629.4531,707.3633,1355.1211,19.928284,19.444513,19.191265,18.979862,0.009756078,0.013500365,0.007918667,0.013029845,19.852867,19.408968,19.220364,18.953491,0.12046814,0.22160721,0.0836401,0.19446468,0.1521739,0.14285715,0.20652173,0.08928572,0.3469429,0.059330508,0.12995562,0.6086956,0.49851418,0.13193329,0.06967392,0.67346936,0.2695179,0.101539366,0.080511354,0.3043478,0.42382622,0.10430835,0.14782359,0.53571427,0.54530144,0.4661007,0.4238987,0.53362274,0.032323785,0.0388824,0.026868,0.03992256,815.08136,1133.7523,689.2277,876.5424,21.012852,29.961435,20.444426,25.14392,0.87023246,0.32340595,-0.6104839,0.37501505,0.19442189,0.26250803,0.15196924,0.24730466,0.796221,0.90279424,0.790045,0.84519655,19.916203,19.530556,19.203781,19.022963
113,2528736942938401317,0.63687897,0.7693186,0.6797657,0.8890047,0.4556179,0.9872322,0.35329437,0.71535873,1.5246897,1.744143,1.041509,1.0479213,0.32608697,0.4489796,0.26086956,0.35714287,0.0,0.0,0.0,0.0,0.28996858,0.19467103,0.37618434,0.2973451,0.633049,0.52788925,0.30677265,0.545619,6.969886e+06,5.59819e+06,3.5510278e+06,5.688082e+06,0.00027725793,0.00059910014,0.0002159371,0.0006030112,0.29872274,-1.3164021,0.05402422,-0.7252219,0.40690085,0.32773888,0.16575417,0.30914345,689.8164,1377.9141,1400.2422,1438.2812,20.420118,20.036444,19.891201,19.596842,0.01666418,0.02448764,0.0147028975,0.024569545,20.3045,19.972044,19.945807,19.513348,0.23095989,0.4086094,0.16873455,0.35066128,0.17391305,0.1632653,0.20652173,0.125,0.5957718,0.122297764,0.24847671,0.6304348,0.9370079,0.24065447,0.12681241,0.67346936,0.48981476,0.20173214,0.15557134,0.35869566,0.83677864,0.2220699,0.29036197,0.60714287,0.97115517,0.8692608,0.77677727,1.097805,0.057260476,0.07172721,0.049601108,0.07636003,1090.4241,1539.2457,1044.3344,1020.4949,24.344545,32.73392,25.146011,26.976343,0.9804607,0.3282404,-0.5198441,0.5006598,0.34028456,0.49064523,0.2924583,0.4814855,0.75516057,0.84744644,0.7955247,0.84156686,20.354147,20.075298,19.869038,19.533394
115,2528736952328892985,0.6397314,0.7932968,0.7584591,2.1128006,0.33659172,0.929163,0.41923904,0.67933655,2.9955294,3.039568,0.34216323,4.7504544,0.20833333,0.29166666,0.28735632,0.13114753,0.0,0.0,0.0,0.0,0.27399096,0.22019646,0.37736094,0.2062593,0.8654666,0.4729812,0.28175688,1.4995087,2.0538662e+07,5.92026e+06,3.7628665e+06,2.5222312e+07,0.00019692724,0.00055401,0.00023840276,0.0018121743,1.8234978,-0.9694383,-0.052302122,9.2847595,0.48897228,0.29423133,0.15526639,0.76031685,1930.043,1115.8359,1144.1484,8271.93,22.045141,21.05657,19.871021,19.251028,0.014348409,0.023602515,0.015447872,0.042683393,21.929222,20.881828,19.920149,19.021297,0.11699772,0.27577496,0.20376968,0.3309822,0.35416666,0.14583333,0.20689656,0.29508197,0.7961273,0.16777854,0.21017328,0.875,0.98140526,0.17903423,0.21557534,0.6875,0.5030384,0.1642871,0.1890351,0.42528737,3.6138916,0.512722,0.009609481,0.9672131,1.0112667,1.2149754,0.8275547,3.7319298,0.05352821,0.06791083,0.05222046,0.09176789,63.36804,244.46617,1029.4536,2180.9712,4.794401,13.217185,26.472797,37.94008,1.5148212,0.7415706,0.10491102,2.722801,0.3163127,0.49698803,0.306965,0.8216992,0.6450151,0.8639758,0.84086853,0.8162465,21.980375,21.054964,19.848518,19.066372
116,2528736953047231785,0.39127827,0.075852394,0.028288841,0.99000263,0.039669037,0.033008575,0.011180878,0.013301849,7.5681047,0.46917436,0.4337886,20.388546,0.041666668,0.3125,0.26436782,0.016666668,9.948719e-08,6.782943e-09,0.0,0.0,0.15930673,0.20086786,0.23854524,0.12679788,1.7756556,2.528452,1.4337425,2.0399365,4.6988572e+07,1.4589493e+08,2.7477416e+07,3.9068732e+07,2.0036654e-05,1.1499172e-06,2.0656286e-07,0.0001915686,35.71139,0.5989194,0.89691687,56.886066,0.8906686,1.2643303,0.7200161,1.0199689,1201.8594,310.6914,114.28906,3996.707,21.466852,20.255394,18.94041,18.380562,0.004801502,0.0015677335,0.0005309909,0.013845393,21.459114,20.254753,18.940937,18.343388,0.024059296,0.01753521,0.0057468414,0.006668091,0.7291667,0.29166666,0.25287357,0.95,0.6663246,0.037471715,0.0,0.9791667,0.05169487,0.017560858,0.022620903,0.29166666,0.0153923035,0.0062513044,0.0067084986,0.44827586,1.9463863,0.040630475,0.0,0.98333335,0.66018295,0.08423805,0.030134201,1.9511204,0.0064047254,0.0053754835,0.0017763445,0.0060192044,2.4629052,2.6431327,3.901522,250.10867,1.1333932,1.290416,1.546284,4.33913,5.5590167,0.19338702,0.120586425,7.4673767,0.103073135,0.03175506,0.010057186,0.2544861,0.7182201,0.79269946,0.77723324,0.29892504,21.454454,20.256523,18.941353,18.351482
117,2528736953253021265,2.0199966,2.2956886,1.879302,2.6419659,0.9366245,2.5965862,1.2443161,2.1027927,2.2080414,1.6458023,0.6984187,0.7521777,0.25,0.42857143,0.29885057,0.3559322,0.0,0.0,0.0,0.0,0.30036813,0.22164711,0.40026584,0.33715793,0.63696307,0.5578206,0.30915508,0.60533786,1.0388174e+07,4.9230875e+06,4.2071945e+06,4.849155e+06,0.0019893039,0.0047798627,0.0017399582,0.0043254504,2.150865,-1.2023473,-0.3488648,-0.8312404,0.4135416,0.35183635,0.1729477,0.32954478,2725.1172,3034.5469,4243.2227,4471.1836,20.48796,20.743704,21.105078,20.546577,0.04461538,0.069169216,0.041748263,0.06584554,20.215477,20.352287,21.200603,20.281403,0.43925953,1.0025387,0.6267872,1.0209942,0.27083334,0.1632653,0.13793103,0.118644066,1.8001881,0.39148667,0.7921311,0.7708333,2.7360516,0.6762559,0.4843686,0.67346936,1.4564934,0.5803065,0.4306695,0.43678162,2.3346348,0.6086135,0.7757068,0.55932206,3.2761116,3.020773,2.155285,3.3335094,0.15754347,0.2065835,0.14272815,0.20124908,2733.5447,4273.2173,1980.5662,1292.501,46.358753,53.072277,40.570324,41.385048,1.4806131,0.40380144,-0.43087277,0.36910024,0.9140782,1.4348258,0.8811003,1.3529005,0.82929593,0.7846958,0.85601604,0.8767758,20.01153,19.736828,20.292564,19.286325
118,2528736953267442845,0.53215885,0.6135721,0.63946056,1.8806152,0.26634407,0.7105255,0.35746765,0.5579262,4.7383804,2.1926641,0.23448871,3.3333356,0.125,0.3877551,0.31034482,0.13559322,0.0,0.0,0.0,0.0,0.29096615,0.21355544,0.36287645,0.23242451,0.819504,0.5108707,0.36687905,1.2807326,1.3651719e+07,7.91995e+06,3.5131498e+06,2.2491426e+07,0.00021675056,0.00045924596,0.00023327983,0.001076843,2.6075263,-1.0859416,-0.06717181,14.125924,0.4896939,0.30751565,0.19227129,0.6585664,1457.8477,1596.9922,994.97266,6618.6953,18.242449,17.998116,17.979765,17.898872,0.0147232,0.02143065,0.015274093,0.03281671,18.12837,17.87542,17.979116,17.725973,0.069633484,0.23506927,0.18258667,0.26010704,0.35416666,0.08163265,0.2413793,0.33898306,0.6997566,0.12487708,0.18998554,0.875,0.7563782,0.1685688,0.13332464,0.6938776,0.43181038,0.15579858,0.18174332,0.50574714,1.112854,0.24441102,0.78233,0.8135593,0.92294884,0.8772526,0.76016617,3.3634987,0.051984183,0.0638321,0.053635836,0.07475202,10015.768,19190.045,12077.294,12473.938,61.61619,122.00482,90.02418,90.22255,1.8165686,0.5917418,0.26676503,3.0349627,0.26858723,0.38571134,0.2746246,0.58738214,0.6956295,0.88829595,0.8152353,0.8290175,18.20357,18.061132,17.959352,17.826136
119,2528736953291862845,0.34040928,0.02543354,0.013541222,1.9684877,0.0070114136,0.008178711,0.0071544647,0.011871338,16.349737,0.84211326,0.37281373,22.112314,0.020833334,0.30612245,0.29885057,0.016949153,0.0,0.0,0.0,0.0,0.14094266,0.123046845,0.18907836,0.12771672,2.0467951,2.129586,1.7053276,2.0381894,5.57713e+07,7.528673e+07,2.1468396e+07,3.9836924e+07,2.9238376e-05,2.480341e-07,1.01334095e-07,0.0008802249,47.44104,1.8070252,0.097503185,58.485798,1.0235698,1.070877,0.86534566,1.0190971,1362.3086,68.24609,37.0,8044.1406,17.778963,17.347008,17.193508,17.22989,0.0054085986,0.000514631,0.0003337977,0.029669875,17.76469,17.34592,17.19299,17.156046,0.00385952,0.0040836334,0.0034294128,0.0049152374,0.9791667,0.36734694,0.21839081,0.9661017,0.66438484,0.0071931737,0.0,0.9791667,0.016349792,0.0054675196,0.0066254237,0.7755102,0.009332657,0.0032756815,0.0037756208,0.6091954,3.918518,0.033209555,0.0,0.9830508,0.664814,0.029424667,0.0150260925,3.925949,0.0014894006,0.0014878619,0.0011476493,0.0059259282,569.05524,22.34542,11.427029,394.668,6.110698,3.3817098,2.6417947,6.388419,6.8689823,0.6541438,0.37018585,7.633105,0.09615927,0.008927308,0.005739154,0.5112087,0.27157408,0.731795,0.7802144,0.33679104,17.76851,17.34859,17.193304,17.161663
120,2528736956131075702,0.6394987,0.7469597,0.7716446,1.8916187,0.44986343,1.0199928,0.4183159,0.7312355,3.6264298,3.4063654,0.44414198,3.1112914,0.25,0.36734694,0.25287357,0.18644068,0.0,0.0,0.0,0.0,0.30719626,0.22822769,0.3624876,0.24809438,0.6227082,0.52972376,0.296408,1.0419582,6.58775e+06,4.8877475e+06,3.8762865e+06,1.5423094e+07,0.00034296064,0.00084543286,0.00030808966,0.001425413,0.90245533,-1.2925266,0.19905186,6.080266,0.38206425,0.3173881,0.17282969,0.54468906,1218.5469,1456.4297,1202.7188,6137.336,18.377085,18.212156,18.221418,18.05607,0.0185199,0.029076895,0.017553128,0.037756078,18.229225,17.94382,18.255032,17.858116,0.09649849,0.24636841,0.20223808,0.32465363,0.29166666,0.1632653,0.1954023,0.22033899,0.69687843,0.117099375,0.23226716,0.75,1.051424,0.18800956,0.1667566,0.67346936,0.5069504,0.18519545,0.20301029,0.47126436,1.4056377,0.30650714,0.69700444,0.8135593,1.0780697,1.1892071,0.83841705,3.281311,0.06369225,0.08134991,0.06292453,0.10154862,14434.3125,27602.752,12958.7295,14846.485,80.86835,144.82677,93.65018,99.86528,1.3308716,0.6158732,0.18231612,2.0395222,0.34034178,0.52955294,0.3198429,0.6817264,0.7311531,0.89862776,0.8274916,0.8236834,18.30525,18.223637,18.187696,17.89498
121,2528736956137526990,1.2027798,1.5601473,1.4105501,2.307579,0.7318115,1.9846134,0.9008179,1.4174271,3.7983398,2.924016,0.23067828,1.8837438,0.20833333,0.3877551,0.33333334,0.2881356,0.0,0.0,0.0,0.0,0.33298853,0.22774202,0.39157403,0.29035094,0.4664351,0.47386256,0.25365666,0.7549264,4.4823285e+06,4.2101755e+06,3.229084e+06,8.519333e+06,0.0011387297,0.0029150024,0.0011240055,0.0031690574,1.2808728,-1.127675,-0.4656422,0.4111054,0.31544363,0.29523277,0.14530663,0.4054476,1514.1797,2483.3438,2437.0352,6157.074,19.060453,19.155182,19.3456,18.969467,0.033746343,0.05399224,0.033527963,0.056300465,18.786907,18.737392,19.428753,18.738525,0.19519997,0.5394287,0.4676628,0.68388176,0.39583334,0.10204082,0.16091955,0.118644066,1.2219849,0.16993253,0.53237027,0.7083333,2.0626755,0.40202942,0.35110214,0.6938776,1.0558052,0.3945736,0.35864237,0.47126436,1.8871422,0.4702824,0.8046762,0.6779661,1.9937191,2.359909,1.5144863,3.48975,0.12044671,0.15673086,0.11328906,0.17105052,13932.886,17415.168,14456.334,7915.254,84.01922,116.00336,103.32584,91.920944,1.4470346,0.661913,-0.12640716,0.99930596,0.6432206,1.0342312,0.6486186,1.0679898,0.7103816,0.873497,0.85105336,0.88794965,18.797209,18.782194,19.024698,18.363602
122,2528736956257735830,1.7121983,2.1345015,1.5909348,2.2699814,0.9292984,2.6209583,1.1969986,1.9676399,1.8321811,2.1302814,0.91582406,1.0562451,0.29166666,0.46938777,0.28735632,0.33898306,0.0,0.0,0.0,0.0,0.29901692,0.22514701,0.40364572,0.33234146,0.61629194,0.5560569,0.33387583,0.5602607,7.294824e+06,7.9289945e+06,4.375298e+06,3.9709375e+06,0.001749561,0.00445652,0.001491083,0.0039363406,1.171556,-1.2700605,-0.48101783,-0.8767462,0.3953722,0.34272456,0.18389507,0.31189355,2363.125,4587.9688,3757.75,3650.0508,20.049322,20.30929,20.613916,20.055996,0.041833293,0.06677104,0.03862856,0.06276947,19.86922,19.844904,20.715443,19.822329,0.41528225,0.8926449,0.53328896,0.97709846,0.20833333,0.18367347,0.09195402,0.10169491,1.6292381,0.3630407,0.6438673,0.75,2.6344242,0.5890711,0.39838418,0.67346936,1.3271828,0.5232836,0.36390194,0.44827586,2.1913815,0.53230345,0.7216303,0.55932206,2.5906487,2.9155445,1.9195614,2.80793,0.15433629,0.19318579,0.12794818,0.19620453,5968.633,6241.383,3723.0469,2377.7896,71.20767,65.069916,54.465717,55.783417,1.2375985,0.45130372,-0.468447,0.4083781,0.83872914,1.3560724,0.79628587,1.2589042,0.8157783,0.8140418,0.84034294,0.8744321,19.603693,19.512518,19.94297,19.003008
125,2528736999038560214,1.5679369,1.2596588,1.389266,1.0245743,1.3754807,1.7987766,1.207077,0.79776955,0.5096459,0.7926261,0.24097776,0.40763736,0.39130434,0.5,0.3181818,0.33333334,8.619301e-10,0.20562781,0.15654129,0.94639564,0.23086216,0.33064806,0.30041733,0.2032432,1.4763944,0.89099926,0.6574705,0.9925487,1.727756e+08,2.806535e+07,8.925331e+07,9.166687e+07,0.00041040676,-0.00083997776,-0.00058049196,-0.0019251966,-0.9846587,-1.6432333,-0.516099,-0.11670041,0.9686068,0.54318535,0.433736,0.5776561,4679.129,1158.6562,3090.4922,2030.5469,24.666567,24.339828,24.37904,23.732855,0.034595355,0.038189553,0.031172283,0.021061614,24.93368,24.152035,24.360409,23.800156,0.6344967,0.7801933,0.58475685,0.4391632,0.17391305,0.14285715,0.27272728,0.2857143,1.5038013,0.4131148,0.3766774,0.4347826,1.7404118,0.4180296,0.15661606,0.64285713,1.289774,0.36583987,0.4917516,0.3181818,0.8126259,0.21727516,0.3334674,0.42857143,1.8930092,1.4791317,1.4453545,1.0576706,0.103649445,0.10249615,0.1064415,0.068147756,3.98355,1.2971785,1.3070023,0.5496658,2.029823,0.9821101,0.89600974,0.59409297,-0.22578888,0.29221305,-0.10629068,0.3279032,0.8533486,0.92952716,0.75995034,0.49985224,0.7967551,0.84030175,0.8275446,0.7833357,24.034187,24.20577,23.900032,23.56181
126,2528737000615799125,2.0528364,1.5012426,2.234827,2.0755568,1.232935,1.2522488,2.1351871,0.9944496,1.1858636,0.7527069,2.3600745,1.4295726,0.3043478,0.35897437,0.36363637,0.25581396,0.0,0.0,0.0,0.0,0.34911197,0.2829352,0.43915278,0.28526422,1.012115,0.7017489,0.21972334,0.7751937,6.069337e+07,3.5953384e+07,4.4531945e+06,3.1542538e+07,0.00034078493,0.0010462854,0.0020712593,0.0008908865,0.546453,-0.6611731,-1.0347993,0.861243,0.534331,0.45019287,0.16313061,0.44902518,8408.418,4209.2734,3513.5,3593.0742,23.818129,23.184856,23.80043,22.756954,0.04033954,0.035855033,0.051253382,0.040278982,23.632786,22.949663,24.259369,22.59146,0.6164675,0.56113625,0.78872204,0.4771576,0.1521739,0.30769232,0.13636364,0.3255814,1.9105244,0.51832765,0.630074,0.7826087,1.4801273,0.39327252,0.47126406,0.64102566,2.2499847,0.6119002,0.47737974,0.37878788,1.7845497,0.46256286,0.66680855,0.76744187,3.0188026,1.9501057,2.994482,2.813549,0.12424811,0.11876033,0.1535881,0.13863452,11.639674,10.926244,23.858828,5.367327,3.4200633,2.5851388,7.3493185,2.0463634,0.9840208,0.4854318,-0.5175449,0.9893952,0.96081233,0.8312938,1.2198526,0.916627,0.8546592,0.7712913,0.8673509,0.8061628,23.266397,22.928604,22.321205,22.105797
131,2528737040650667333,1.3832226,1.5303516,1.3357334,1.2627001,1.1976986,1.4482422,1.252285,1.1543598,0.4133957,0.4952752,1.075849,0.39276806,0.35,0.4375,0.35714287,0.4117647,0.03726261,0.060908962,0.00078048144,0.21247344,0.35236797,0.35647213,0.36129326,0.24759491,1.5811967,0.9594895,0.9214381,1.4749255,5.3974304e+08,3.2322452e+07,3.8411516e+07,6.0778564e+07,0.00022166222,-0.00016529295,-0.00039128648,-0.0007407523,-0.69848824,-0.9373193,-0.716676,-0.25825834,0.88805515,0.52468646,0.5327167,0.90781426,5588.793,1197.8398,2005.3828,1948.1211,24.77201,24.197193,24.185608,23.410433,0.033069167,0.03952868,0.032666374,0.030367821,24.62254,23.995129,24.052822,23.537312,0.6333895,0.60806656,0.49269485,0.64507675,0.15,0.1875,0.21428572,0.1764706,1.4618149,0.3980804,0.43317458,0.65,1.6712971,0.46268216,0.51412183,0.625,1.5383797,0.3641112,0.34030655,0.71428573,1.1725445,0.28929293,0.4579655,0.47058824,1.8338451,1.7125797,1.7141209,1.4560127,0.10356997,0.121301554,0.10441465,0.09442284,1.6482089,1.6169116,2.0864902,1.2608926,1.2200257,1.0698458,1.2543058,1.116036,0.5027942,0.33812958,0.635459,0.46129498,0.8191897,0.95648307,0.7900561,0.71092385,0.8481329,0.7764268,0.81920254,0.88580537,24.331978,23.618517,23.543997,23.080309
132,2528737046829213220,2.8140597,2.9697933,3.7480416,2.771521,2.0373,1.8050137,0.91747665,1.8313522,0.62223834,0.38141793,2.700849,0.39365855,0.375,0.30952382,0.17283951,0.31666666,0.0,0.0,0.0,0.0,0.3015423,0.26742828,0.3069677,0.32355475,1.1025062,0.47626972,0.9563469,0.7994075,6.1609024e+07,6.1998185e+06,1.7436296e+07,1.195117e+07,0.0064505916,0.0072637135,0.0028286113,0.0054241847,-0.77186847,-0.13719106,9.834116,-0.6126058,0.61459476,0.30080903,0.61312056,0.41979414,14411.484,2783.4512,14582.162,8456.715,17.312502,17.25449,17.926573,17.113888,0.0803157,0.08522754,0.053184904,0.07365003,17.04826,17.14691,18.007034,17.064995,1.0758066,0.9025068,0.4594097,0.848259,0.16666667,0.16666667,0.43209878,0.15,2.4553127,0.747192,0.6351323,0.625,2.2901764,0.9928592,0.82769144,0.52380955,1.4373207,0.63054895,0.715717,0.2962963,2.0948277,0.6657328,0.72422814,0.51666665,3.114811,3.3550549,5.019497,3.0735645,0.24162711,0.30105934,0.13466743,0.2279968,846787.8,1.3635752e+06,275584.3,413397.3,858.8578,905.00964,363.05014,668.64594,0.16172145,-0.28048387,1.2531536,0.16331367,1.3904657,1.4705578,0.9534231,1.2604384,0.8373405,0.8382296,0.79838705,0.8660051,16.170437,15.688784,17.184021,15.879439
133,2528737046899095256,1.6396742,1.8480139,1.8454256,1.7545938,1.1093254,1.7417679,1.8467445,1.2946529,1.0342386,1.1827179,1.2952684,1.114914,0.35897437,0.3181818,0.4117647,0.30612245,0.0,0.0,0.0,5.621059e-13,0.3775104,0.30426803,0.43294695,0.32161427,0.49011716,0.5621039,0.3295532,0.69351804,2.1564454e+07,2.426958e+07,4.826745e+06,1.8983048e+07,0.0009361135,0.0013105121,0.0013516054,0.000806725,-0.21460962,-0.90882134,-1.2075286,-0.30286574,0.30013824,0.3677226,0.20571594,0.4072921,2290.5703,6082.6484,3056.1953,2621.379,23.965559,23.71397,23.852083,23.06599,0.03490891,0.04183614,0.044435777,0.03735575,23.70356,23.493015,24.073387,22.813175,0.47554398,0.6451025,0.9036646,0.4942131,0.23076923,0.22727273,0.10294118,0.14285715,1.5829391,0.39992887,0.49898472,0.71794873,1.8528061,0.50710666,0.4016651,0.6818182,1.9093094,0.41853726,0.53302073,0.3970588,1.5393848,0.3845816,0.544479,0.6530612,2.3050728,2.0828304,1.9683285,2.4423428,0.11030761,0.1319668,0.13688558,0.11757465,7.9530144,8.273483,10.040224,3.1997964,2.3695724,2.177827,4.295052,1.6191591,0.77422315,0.35053396,-0.14056607,0.6972548,0.83661157,0.99210095,1.0598859,0.86164737,0.8206658,0.7637772,0.89772826,0.81452554,23.527893,23.353994,22.88042,22.534908
134,2528737047804872195,1.4244394,1.5825205,1.5327406,1.4607105,0.66028976,1.162981,1.0400639,0.93588066,0.2857029,0.86013365,0.7194563,0.13946624,0.34210527,0.36666667,0.3561644,0.3529412,0.0,0.0,0.0,0.0,0.30720806,0.4116959,0.2832343,0.27008897,0.81839883,0.5958712,0.91289496,1.3606204,7.707776e+07,4.3227132e+07,1.064897e+07,4.8915824e+07,0.0001250169,0.00064004405,0.00042403108,-0.0006426114,0.07499027,-0.68433356,-0.49982858,-0.07981801,0.4566827,0.29796758,0.45836195,0.6817397,4230.125,3325.6484,3872.5273,2504.543,23.92248,23.775627,23.528973,23.249866,0.026930096,0.034668718,0.030649982,0.028660448,23.879108,23.504745,23.377571,23.283339,0.36136818,0.49672413,0.5134411,0.44465542,0.18421052,0.16666667,0.24657534,0.1764706,1.0132923,0.36793998,0.4193484,0.5,1.498703,0.40241605,0.42847884,0.6666667,1.2593555,0.38344908,0.4066027,0.6438356,1.0712833,0.36781317,0.41758507,0.44117647,1.7300987,1.8881989,1.8908825,1.5956326,0.08794172,0.10220262,0.09460143,0.09506376,10.855354,20.28026,13.574484,5.831147,2.634715,2.9267886,3.6098528,1.8094527,0.239527,0.47158495,0.39080277,0.10162844,0.64423466,0.8242705,0.7211626,0.6663516,0.79151803,0.7398499,0.8710849,0.75072247,23.547718,22.810072,22.780815,22.50143
