,amplitude_g,amplitude_r,amplitude_i,amplitude_z,inter_percentile_range_25_g,inter_percentile_range_25_r,inter_percentile_range_25_i,inter_percentile_range_25_z,anderson_darling_normal_g,anderson_darling_normal_r,anderson_darling_normal_i,anderson_darling_normal_z,beyond_1_std_g,beyond_1_std_r,beyond_1_std_i,beyond_1_std_z,chi2_pvar_g,chi2_pvar_r,chi2_pvar_i,chi2_pvar_z,cusum_g,cusum_r,cusum_i,cusum_z,eta_g,eta_r,eta_i,eta_z,eta_e_g,eta_e_r,eta_e_i,eta_e_z,excess_variance_g,excess_variance_r,excess_variance_i,excess_variance_z,kurtosis_g,kurtosis_r,kurtosis_i,kurtosis_z,lafler_kinman_string_length_g,lafler_kinman_string_length_r,lafler_kinman_string_length_i,lafler_kinman_string_length_z,maximum_slope_g,maximum_slope_r,maximum_slope_i,maximum_slope_z,mean_g,mean_r,mean_i,mean_z,mean_variance_g,mean_variance_r,mean_variance_i,mean_variance_z,median_g,median_r,median_i,median_z,median_absolute_deviation_g,median_absolute_deviation_r,median_absolute_deviation_i,median_absolute_deviation_z,median_buffer_range_percentage_10_g,median_buffer_range_percentage_10_r,median_buffer_range_percentage_10_i,median_buffer_range_percentage_10_z,otsu_mean_diff_g,otsu_std_lower_g,otsu_std_upper_g,otsu_lower_to_all_ratio_g,otsu_mean_diff_r,otsu_std_lower_r,otsu_std_upper_r,otsu_lower_to_all_ratio_r,otsu_mean_diff_i,otsu_std_lower_i,otsu_std_upper_i,otsu_lower_to_all_ratio_i,otsu_mean_diff_z,otsu_std_lower_z,otsu_std_upper_z,otsu_lower_to_all_ratio_z,percent_amplitude_g,percent_amplitude_r,percent_amplitude_i,percent_amplitude_z,percent_difference_magnitude_percentile_5_g,percent_difference_magnitude_percentile_5_r,percent_difference_magnitude_percentile_5_i,percent_difference_magnitude_percentile_5_z,chi2_g,chi2_r,chi2_i,chi2_z,roms_g,roms_r,roms_i,roms_z,skew_g,skew_r,skew_i,skew_z,standard_deviation_g,standard_deviation_r,standard_deviation_i,standard_deviation_z,stetson_K_g,stetson_K_r,stetson_K_i,stetson_K_z,weighted_mean_g,weighted_mean_r,weighted_mean_i,weighted_mean_z,villar_fit_amplitude_g,villar_fit_baseline_g,villar_fit_reference_time_g,villar_fit_rise_time_g,villar_fit_fall_time_g,villar_fit_plateau_rel_amplitude_g,villar_fit_plateau_duration_g,villar_fit_reduced_chi2_g,villar_fit_amplitude_r,villar_fit_baseline_r,villar_fit_reference_time_r,villar_fit_rise_time_r,villar_fit_fall_time_r,villar_fit_plateau_rel_amplitude_r,villar_fit_plateau_duration_r,villar_fit_reduced_chi2_r,villar_fit_amplitude_i,villar_fit_baseline_i,villar_fit_reference_time_i,villar_fit_rise_time_i,villar_fit_fall_time_i,villar_fit_plateau_rel_amplitude_i,villar_fit_plateau_duration_i,villar_fit_reduced_chi2_i,villar_fit_amplitude_z,villar_fit_baseline_z,villar_fit_reference_time_z,villar_fit_rise_time_z,villar_fit_fall_time_z,villar_fit_plateau_rel_amplitude_z,villar_fit_plateau_duration_z,villar_fit_reduced_chi2_z
0,2.1769485,0.07813263,3.0107079,0.03297043,0.05193138,0.023736954,0.016368866,0.01493454,26.402351,1.0744852,52.91432,0.33004847,0.03846154,0.22699386,0.0067114094,0.32,0.0,0.0,0.0,0.01441067,0.1212286,0.09823276,0.08124918,0.091029555,2.065254,1.6981473,2.0108624,2.0965679,6.8959336e+07,1.0359182e+07,2.0568616e+07,125083.37,0.0010371549,2.9744157e-07,0.00056310603,8.582739e-08,26.20895,2.666121,148.07411,0.7152078,1.0326298,0.85624135,1.0054318,1.0686635,8844.617,174.09766,11960.953,103.8125,21.809057,20.053595,19.4025,19.055681,0.03383826,0.00096883654,0.024702517,0.0006260406,21.666973,20.052101,19.363913,19.054749,0.026280403,0.011842728,0.008277893,0.007463455,0.94871795,0.33742332,0.9932886,0.23,3.7210732,0.04681744,0.9569902,0.96153843,0.029214859,0.012400427,0.013248086,0.5214724,5.8415604,0.026555073,0.0,0.9932886,0.01875496,0.0069310544,0.008039225,0.56,4.295868,0.08378601,5.8409405,0.03762245,0.012255393,0.002959172,0.004000486,0.0019154818,6.6900873,2.9490004,4.226802,1.3357085,1.6910515,1.3770274,1.4094601,0.93897986,5.166872,0.13638052,12.149707,0.32390854,0.7379806,0.019428656,0.4792906,0.01192963,0.64425194,0.8003263,0.6855231,0.8085192,21.6601,20.053368,19.362778,19.054802,0.056640394,21.655436,2671.6797,276.4573,220.69543,0.8838596,35.20257,3.6366942,0.12297965,20.003065,2941.8818,127.238266,78.85744,0.99410087,265.41647,1.5137494,0.05030884,19.35366,3312.2795,241.96791,752.41473,0.07963188,378.15213,2.1217322,0.025520377,19.05393,2794.8123,17.984272,2.7097979,0.5325722,13.635175,0.7013981
1,0.18767452,1.1810055,1.934206,0.25265503,0.038715363,0.062877655,0.10431862,0.091350555,12.046857,25.299244,25.633566,0.25843304,0.07692308,0.08695652,0.046979867,0.29,0.0,0.0,0.0,0.6518906,0.23551552,0.081476025,0.11128376,0.16005014,0.45224693,1.8560623,1.7501086,2.017465,4.815348e+06,1.3324657e+07,1.0047813e+07,127331.055,1.3145463e-05,7.365968e-05,8.509459e-05,-2.9785383e-06,8.129392,84.70083,86.33985,1.2475934,0.31664076,0.9378551,0.8765683,1.1386669,318.57422,4301.664,6778.3984,883.6133,21.580719,21.64921,21.467556,21.414474,0.0037298107,0.009046869,0.0144945495,0.0035196515,21.561893,21.622671,21.426819,21.420692,0.020188332,0.032901764,0.04670143,0.044542313,0.4871795,0.88819873,0.9395973,0.28,0.2807846,0.024326403,0.06357889,0.9230769,2.11726,0.10287352,0.0,0.99378884,3.315693,0.15229887,0.0,0.9932886,0.11806297,0.047440905,0.04682114,0.45,0.31624413,2.1306477,3.3341713,0.25307655,0.015899751,0.015292541,0.014855049,0.010634505,12.633462,9.638488,3.1070838,0.9390203,1.9793836,1.6054871,1.3216609,0.79866415,2.924507,8.2121315,8.34828,-0.060758635,0.080492,0.19585757,0.31116256,0.07537149,0.5695731,0.56553894,0.74888194,0.82105696,21.572598,21.647007,21.427994,21.414377,0.8376743,21.512392,3017.3643,46.339844,218.74428,0.6922488,42.52694,1.3199927,0.77663994,21.676386,3037.862,6.4515486,284.94308,0.03177165,256.24182,3.6326947,1.0174136,20.943117,2881.126,241.91487,216.5924,0.116850585,192.09282,0.7136917,0.34296554,21.174513,2807.0024,4.6551714,9.7513275,0.22876734,15.281721,0.46130762
2,0.22605228,0.29469967,0.74093056,0.30437565,0.053337097,0.06014061,0.10284042,0.080560684,10.406733,7.9454026,8.29187,1.1072259,0.088607594,0.13333334,0.24832214,0.2647059,0.0,0.0,0.0,0.5000114,0.23456493,0.16878724,0.18218884,0.12702596,0.45836598,0.84537905,1.4562699,1.7657585,6.7955625e+06,4.2717485e+06,1.1673459e+07,108764.016,1.5566797e-05,4.16642e-06,1.2144678e-05,5.0201675e-07,8.5071,5.6312885,8.638066,7.536422,0.29307175,0.47533628,0.74423915,0.8920626,305.3828,489.625,1867.7969,893.52344,22.008032,21.552717,21.293823,21.362709,0.00412549,0.0035811868,0.0083084395,0.0038906622,22.028683,21.564064,21.31579,21.369516,0.026706696,0.02729702,0.043031693,0.04428768,0.43037975,0.53333336,0.66442955,0.37254903,0.34492683,0.029813573,0.033559963,0.06329114,0.25530624,0.0423241,0.05201545,0.053333335,0.3038826,0.0933685,0.13409452,0.2080537,0.119665146,0.043021906,0.06799566,0.46078432,0.37433434,0.29555893,0.9000759,0.44195366,0.016700992,0.011102021,0.021465668,0.010955855,18.299809,14.50376,13.470519,0.99340314,2.0237617,1.7290987,2.303481,0.80577344,-2.9270086,-1.0665119,1.2462226,1.477559,0.090793915,0.077184305,0.17691845,0.083115086,0.55608356,0.6045623,0.73726344,0.81004834,21.997677,21.508314,21.262669,21.362608,0.2559592,21.674547,2978.4998,183.27141,19.335627,0.90262586,38.447147,0.81719136,0.3698388,21.276978,2871.7332,131.1336,72.240616,0.5855304,32.994495,0.6444342,0.9317347,20.90528,2447.6018,45.26606,219.63632,0.10931912,225.08148,1.1305907,0.3354114,21.20942,2814.4802,3.8369896,12.517359,0.22222942,2.894141,0.4753535
3,0.431983,0.53057384,0.95262814,0.99682045,0.1015892,0.14643288,0.2327652,0.21743011,7.640248,3.6224356,4.242921,2.7964888,0.11392405,0.2,0.1985294,0.16831683,0.0,0.0,0.0,0.0002919578,0.2266139,0.17941393,0.16211697,0.12507723,0.5760005,1.2381471,1.5595063,2.2673955,8.608443e+06,8.421273e+06,9.926176e+06,144517.45,4.3673193e-05,-2.358718e-06,2.2019844e-05,2.8872978e-06,7.024042,2.7042031,6.2507,9.407044,0.34198782,0.6386078,0.7845889,1.2511723,421.30078,1313.6562,2226.7383,3919.9062,22.947388,22.848568,22.288204,22.179703,0.0070942836,0.0070950794,0.010005424,0.010364818,22.970678,22.859924,22.328156,22.176077,0.050512314,0.0745821,0.10587311,0.10853958,0.443038,0.35333332,0.4779412,0.45544556,0.59436417,0.053222343,0.074143015,0.06329114,0.37400246,0.1228304,0.112730004,0.10666667,0.3607502,0.20417106,0.12197384,0.29411766,0.30118752,0.15020685,0.19609414,0.5148515,0.6288662,0.5494156,1.102396,1.2510548,0.029283373,0.026389582,0.023808975,0.02493977,15.703489,7.2129593,4.115687,1.5596042,1.925469,1.4077656,1.5004853,0.93712187,-2.4747458,-0.52584153,-1.1404144,1.207283,0.16279528,0.1621124,0.22300293,0.22988859,0.5829481,0.6901675,0.7873381,0.74922675,22.898943,22.719015,22.269587,22.140848,0.6624637,22.35381,2968.0999,137.68965,50.27166,0.90456116,49.35774,0.85142624,0.811741,22.344261,2885.6665,125.97683,142.71573,0.854928,79.65249,0.4951219,1.2415724,21.679632,2866.7124,532.48553,84.49421,0.99904644,340.68454,0.5854042,1.2183363,21.447945,2812.2817,4.951718,12.193121,0.7768629,24.006273,0.6904984
4,0.45319557,0.8043318,0.8651533,0.62140465,0.08193207,0.21170616,0.34448433,0.28072357,8.737856,2.7553542,3.4661565,0.59525955,0.101265825,0.17880794,0.2937063,0.3263158,0.0,0.0,0.0,0.0016340704,0.21847244,0.25673082,0.3234984,0.20017067,0.48762745,1.521934,0.8556386,1.8786397,7.5846655e+06,1.0930256e+07,6.4932515e+06,132832.1,4.5583107e-05,1.6255486e-05,5.3632586e-05,5.3780313e-06,7.515444,5.0575843,3.6687753,0.89902854,0.35709608,0.7784102,0.4329768,0.93953156,597.70703,2571.668,1831.9219,1998.7188,22.83903,22.666113,22.347017,22.37887,0.0071443063,0.0093455985,0.012152127,0.010265143,22.874556,22.64745,22.411852,22.374336,0.038072586,0.10521698,0.14681435,0.13603401,0.51898736,0.35099337,0.26573426,0.25263157,0.6012974,0.06339256,0.070926994,0.06329114,0.3236618,0.11655109,0.198499,0.6754967,0.48995018,0.22154881,0.121400066,0.28671327,0.37512589,0.13422439,0.171927,0.67368424,0.67370987,1.1065807,1.3852844,0.78439903,0.028936395,0.033114206,0.03405489,0.032135535,18.733473,6.5062027,8.994835,1.483581,2.060661,1.7058526,2.2072275,0.98124754,-2.6326318,1.3617096,-1.4419228,0.6788218,0.16316903,0.2118284,0.2715638,0.22972229,0.60368115,0.68862283,0.77610224,0.8022905,22.793425,22.564299,22.32354,22.326584,0.62377775,22.266941,2935.4224,180.71068,27.28046,0.7987113,51.082508,0.9740016,0.68579185,22.343422,2821.115,118.473785,39.069828,0.27351508,3.4219646,0.8557521,0.96012616,21.993532,2585.6208,157.54369,18.063625,0.22980282,231.48595,1.0244017,0.558732,22.08156,2811.8896,6.6440854,3.9533265,0.17565608,7.8108582,0.6007985
5,0.2947502,0.5837822,0.5526943,0.44636726,0.079416275,0.1463871,0.13210869,0.17475128,4.75488,1.80375,4.4520583,0.85305303,0.16666667,0.20886075,0.2027972,0.26,0.0,0.0,0.0,9.887567e-07,0.20803605,0.20803274,0.20580882,0.18849374,0.7047023,1.4240144,1.5351769,1.6988559,1.4960341e+07,9.61861e+06,1.401655e+07,113888.37,1.415464e-05,1.6449096e-06,-7.759356e-06,1.5713827e-05,5.3057184,7.4800644,5.342664,2.0349631,0.4182108,0.72391516,0.77300054,0.8522039,396.76172,1818.1719,1635.8125,1476.5352,22.95898,22.435022,21.758879,21.767542,0.0045544887,0.0060471706,0.0074303444,0.0068333135,22.981451,22.434689,21.794073,21.753782,0.040664673,0.07271099,0.065382004,0.08951378,0.3452381,0.43670887,0.42657343,0.31,0.33075905,0.08996189,0.057834074,0.071428575,0.19062614,0.08056938,0.11059466,0.5063291,0.29773712,0.15992947,0.08072984,0.22377622,0.22890854,0.08566135,0.11511288,0.61,0.44374657,0.78097343,0.8079395,0.5207424,0.017353037,0.017582282,0.022274088,0.019249385,4.2949805,3.655228,4.761239,1.8266627,1.2431219,1.3191031,1.608492,1.0548414,-2.06465,1.2739804,-1.6540308,0.72877157,0.10456642,0.13566841,0.16167596,0.14874443,0.62918186,0.71395594,0.7636497,0.776663,22.94822,22.397532,21.765228,21.75016,0.35480672,22.513021,3011.5647,207.64326,22.477737,0.86934376,45.978893,0.5555073,0.5491932,22.223745,2797.4575,111.98475,15.590713,0.11831641,21.602419,0.6675212,0.8346995,21.526789,2239.83,82.51791,163.1317,0.14876579,432.63953,0.8278617,0.44899392,21.52819,2810.2566,8.690443,5.9858084,0.16204844,9.539937,0.7786118
6,0.24312782,1.2038822,1.8653717,0.635169,0.04162407,0.045597076,0.09452057,0.08886719,14.622141,31.56667,25.227123,6.9264746,0.075,0.06962025,0.027210884,0.08080808,0.0,0.0,0.0,0.0,0.24201399,0.114426054,0.09806919,0.10447094,0.21802059,1.9092075,1.9059163,1.9148468,2.6110658e+06,9.552769e+06,1.987015e+07,136550.42,1.955198e-05,8.960658e-05,0.00016188818,3.1728643e-05,10.161358,84.25056,112.842255,21.263584,0.18742752,0.961042,0.9550305,0.9637189,188.60156,4563.449,6886.7383,1761.957,21.705776,21.293333,21.117031,20.712713,0.0045271376,0.009743925,0.0139566185,0.0060416083,21.684483,21.260876,21.082306,20.711576,0.020438194,0.022413254,0.04465866,0.04584503,0.6,0.9050633,0.9047619,0.68686867,0.3887272,0.02645147,0.026112247,0.9375,1.5764904,0.08050873,0.9198964,0.98734176,3.3492012,0.10308672,0.0,0.99319726,0.6607342,0.080387495,0.24241923,0.97979796,0.40787315,2.2394543,3.361145,0.81993866,0.018397447,0.015804594,0.015860112,0.011406477,12.760349,16.61273,6.171533,10.540286,1.8215799,1.9331098,1.8907928,1.7654591,3.2845674,8.392478,9.96765,2.9993782,0.09826504,0.20748064,0.29472235,0.1251381,0.52788085,0.57099444,0.7618813,0.5495536,21.694769,21.290632,21.107193,20.700212,0.5640817,21.669918,2887.9536,18.223484,114.00832,0.9864364,470.5561,0.799692,1.4474978,21.04689,2870.832,24.748549,131.40323,0.16008164,47.442554,2.2818096,1.5367731,20.564562,2920.5283,156.29846,198.71924,0.0043169474,40.045403,1.6162585,0.67736715,20.301678,2825.775,11.189568,1.9578903,0.25018248,2.212325,5.460995
7,0.26772308,2.3295422,0.8981056,1.2325525,0.035417557,0.055015564,0.08542442,0.09335327,12.659416,44.03482,9.757628,20.632519,0.075,0.012578616,0.2,0.021052632,0.0,0.0,0.0,6.4706505e-08,0.23015459,0.09756841,0.21566683,0.12045522,0.41937646,1.7110252,1.3480949,1.981063,5.074794e+06,8.919086e+06,1.3415003e+07,130279.82,1.3883555e-05,0.00035530605,4.5681354e-05,0.00018188384,8.74264,88.93613,19.885136,44.431442,0.28885058,1.0052788,0.6841105,0.9905562,297.25522,9082.609,2496.625,4687.1797,21.033552,20.796492,20.967796,21.148088,0.0037717957,0.01996379,0.008210953,0.01404873,21.049065,20.757025,20.998262,21.105888,0.017985344,0.02733612,0.041553497,0.044887543,0.7125,0.9685535,0.71034485,0.9157895,0.29860878,0.024580337,0.032223172,0.0625,3.5509186,0.07212971,1.2338021,0.9874214,0.3090763,0.07743225,0.12959167,0.19310345,1.9782581,0.06879502,0.4470115,0.97894734,0.32826233,4.418148,1.2342339,2.2948933,0.0146538,0.013613952,0.0200488,0.01142897,59.06661,39.395466,32.1632,1.9689429,3.4545376,3.1178746,3.3135026,1.0563672,-2.5695677,9.141917,2.1870728,6.477355,0.07933426,0.41517678,0.1721656,0.2971038,0.51919407,0.60600376,0.71163815,0.7447054,21.026201,20.71811,20.935986,21.100412,0.303364,20.742657,2846.4297,128.18979,70.45089,0.3359716,7.292802,3.5021696,1.6378653,20.444593,2734.2588,193.7845,141.37898,0.71543694,91.59145,2.1824374,0.75321746,20.693605,2759.6545,91.840866,67.77902,0.26105118,49.09972,2.2880921,0.56994337,20.83654,2816.506,15.616615,8.000899,0.26722687,6.9956107,0.987216
8,1.7097311,0.87653446,1.1458712,0.26514816,0.06857681,0.10075188,0.177454,0.116025925,18.418493,11.134878,8.175335,0.6665798,0.06329114,0.115384616,0.17931035,0.31,0.0,0.0,0.0,0.0011215863,0.109958135,0.116668954,0.14111885,0.26070836,1.7333175,1.6066484,1.836173,1.4774016,2.7862884e+07,1.132994e+07,1.23699e+07,82977.1,0.0002289765,3.39141e-05,3.9378418e-05,4.9927194e-06,56.405796,33.279755,8.749796,0.15763378,0.88768727,0.8232623,0.9217868,0.750324,5732.2305,2735.2734,2519.4023,814.72266,22.588911,22.11347,21.86028,21.46935,0.015422554,0.007234302,0.010863765,0.004678151,22.577076,22.126858,21.892305,21.468266,0.03400612,0.047261238,0.06803894,0.056505203,0.9240506,0.7692308,0.66206896,0.25,2.8519745,0.13655701,0.0,0.98734176,1.3627396,0.117374755,0.0,0.99358976,0.37022018,0.19230016,0.17408718,0.23448277,0.17498398,0.06425422,0.061365966,0.73,2.8277073,1.3406181,1.2033119,0.28614235,0.01920986,0.020499539,0.02200155,0.015537752,20.634653,12.46086,7.5386624,1.4909405,1.9317575,1.8203186,1.856017,0.960627,6.706591,3.458708,0.32814768,0.30804536,0.3483787,0.15997551,0.23748493,0.10043687,0.53055984,0.67567205,0.72686857,0.78379774,22.523134,22.035784,21.846416,21.464865,1.9672141,21.791512,2800.5334,93.36786,117.59561,0.26882294,17.238287,0.95892113,0.84264255,21.704117,2820.6936,112.5652,95.74709,0.12739931,8.778429,1.0344404,1.1941981,20.81317,3081.8264,258.611,30.957775,0.916347,97.10184,0.97882116,0.62796396,21.121536,2810.337,2.686349,5.703821,0.61425227,15.889276,0.58663064
9,1.2694511,0.5029106,1.5841208,0.18583107,0.06584358,0.1132946,0.14786148,0.08315468,16.80519,7.4400907,15.818088,0.417477,0.0875,0.14285715,0.06081081,0.2857143,0.0,0.0,0.0,2.330313e-05,0.12906317,0.27301028,0.094530895,0.28220937,1.647421,0.6480024,1.9541262,1.2148076,2.4698536e+07,3.4366608e+06,1.931395e+07,76480.586,0.00020149723,1.919831e-05,0.00017178606,2.9326388e-06,20.311827,6.345357,37.942924,0.40100932,0.844789,0.3757528,0.97836494,0.68316823,2529.4492,1141.6328,5314.043,591.8906,22.016462,21.667076,21.348198,21.003334,0.014262141,0.005694271,0.014510003,0.0032643173,21.996353,21.671324,21.354794,21.00716,0.033708572,0.054397583,0.07102203,0.04235077,0.9125,0.4347826,0.7567568,0.20408164,1.4374161,0.13656959,0.45035872,0.9625,0.40181923,0.0689402,0.08241515,0.055900622,2.293274,0.16034995,0.027061649,0.9864865,0.10813904,0.03779287,0.04565851,0.47959185,1.9048252,0.57572556,2.2748222,0.21307945,0.018220713,0.019217279,0.021000242,0.011541337,72.4842,36.366516,18.84521,1.6945591,3.7401726,2.8434753,2.9149034,1.0623722,3.6908503,-0.9377585,5.1136155,0.28213876,0.3140019,0.1233782,0.30976242,0.06856155,0.5420499,0.63226,0.7194692,0.816262,21.9321,21.576677,21.310356,21.001848,1.393226,21.315628,2817.6182,55.181465,82.13962,0.17458732,5.8877463,7.961044,0.5675655,21.280636,2828.699,159.57942,54.47179,0.31543136,5.215323,0.8603538,2.1583896,21.131521,2673.0833,18.493143,28.563297,0.17489809,90.98669,2.302097,0.25812083,20.869638,2793.1826,15.815987,3.7432036,0.2648989,28.20205,0.5164331
